id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5.84736E+17,Condo in Bozeman · ★5.0 · 2 bedrooms · 3 beds · 1 bath,104010331,Dream MT,,Bozeman,45.6884,-111.04387,Entire home/apt,275,1,3,7/11/2023,0.24,13,207,2,
51169010,Guesthouse in Bozeman · ★4.96 · 1 bedroom · 1 bed · 1.5 baths,409136809,Ryan,,Bozeman,45.68446,-111.02392,Entire home/apt,333,2,24,6/11/2023,1.02,1,102,6,
53611532,Townhouse in Bozeman · ★4.95 · 2 bedrooms · 3 beds · 1 bath,324665946,James,,Bozeman,45.68934,-111.04311,Entire home/apt,219,3,40,8/3/2023,2.7,1,308,24,
41080693,Townhouse in Bozeman · ★4.96 · 2 bedrooms · 2 beds · 2.5 baths,206664747,Penny And Bryce,,Bozeman,45.68641,-111.10851,Entire home/apt,250,2,47,6/25/2023,1.09,1,93,9,
7.44109E+17,Townhouse in Bozeman · ★4.86 · 2 bedrooms · 2 beds · 2 baths,34644364,Jean,,Bozeman,45.69155,-111.07119,Entire home/apt,100,30,7,3/26/2023,1.01,1,190,7,
7.10864E+17,Condo in Bozeman · ★4.92 · 3 bedrooms · 3 beds · 2 baths,22366054,Tessa,,Bozeman,45.70208,-111.09074,Entire home/apt,341,2,25,8/5/2023,2.31,7,302,25,
6.50129E+17,Townhouse in Bozeman · ★4.97 · 4 bedrooms · 4 beds · 2.5 baths,464467613,Tatanka,,Bozeman,45.70271,-111.07377,Entire home/apt,329,1,39,7/30/2023,3.16,1,120,37,
18723425,Home in Bozeman · ★4.83 · 3 bedrooms · 4 beds · 2 baths,129302024,Dan & Alex,,Bozeman,45.68764,-111.09028,Entire home/apt,130,30,19,1/10/2023,0.25,1,216,1,
48979458,Home in Bozeman · ★4.95 · 2 bedrooms · 2 beds · 2 baths,179304077,Jami,,Bozeman,45.71233,-111.07847,Entire home/apt,300,2,22,7/17/2023,0.87,1,99,6,
6.7018E+17,Townhouse in Bozeman · ★4.73 · 3 bedrooms · 4 beds · 2.5 baths,446248807,Ty,,Bozeman,45.690875,-111.1059493,Entire home/apt,194,2,37,7/24/2023,2.98,1,329,35,
39028561,Cottage in Bozeman · ★4.95 · 2 bedrooms · 4 beds · 2 baths,299079914,Bart,,Bozeman,45.66400909,-111.0310822,Entire home/apt,265,2,145,7/31/2023,3.11,1,283,30,
53493470,Condo in Bozeman · ★5.0 · 2 bedrooms · 3 beds · 2 baths,194602628,Lori,,Bozeman,45.678993,-111.022896,Entire home/apt,254,2,76,8/7/2023,3.81,1,203,50,
33241999,Condo in Bozeman · ★4.67 · 2 bedrooms · 2 beds · 2 baths,78849013,Stay Montana,,Bozeman,45.6779,-111.02176,Entire home/apt,229,2,24,12/27/2022,0.48,12,328,2,
9.02925E+17,Townhouse in Bozeman · 2 bedrooms · 2 beds · 2 baths,231155123,Chad,,Bozeman,45.6901827,-111.1061077,Entire home/apt,261,3,1,8/7/2023,1,1,336,1,
7.05083E+17,Condo in Bozeman · ★4.90 · 2 bedrooms · 3 beds · 2 baths,87300632,Liz,,Bozeman,45.68687,-111.04434,Entire home/apt,232,3,21,8/5/2023,2.16,5,303,21,
14041374,Home in Bozeman · ★5.0 · 5 bedrooms · 6 beds · 3.5 baths,20987607,Jacki,,Bozeman,45.65439,-111.03909,Entire home/apt,400,3,8,7/18/2023,0.1,1,18,1,
6.38572E+17,Home in Bozeman · ★5.0 · 2 bedrooms · 2 beds · 2.5 baths,7704883,Christyn,,Bozeman,45.67052,-111.00575,Entire home/apt,428,2,5,2/20/2023,0.36,2,12,3,
8131484,Rental unit in Bozeman · ★4.91 · 1 bedroom · 2 beds · 1 bath,42939495,Mary,,Bozeman,45.67359,-111.05386,Entire home/apt,165,3,190,8/4/2023,2.08,1,291,28,
7.53639E+17,Home in Bozeman · ★5.0 · 2 bedrooms · 2 beds · 2 baths,2209026,Kristen,,Bozeman,45.68315,-111.0256,Entire home/apt,279,3,22,7/19/2023,2.96,2,324,22,
6.70437E+17,Home in Bozeman · ★5.0 · 2 bedrooms · 2 beds · 2 baths,120268430,Olga,,Bozeman,45.68321,-111.03567,Entire home/apt,399,2,12,8/5/2023,1.12,1,130,12,
36097634,Rental unit in Bozeman · ★4.83 · 2 bedrooms · 3 beds · 2 baths,271534497,Jason,,Bozeman,45.68864,-111.04161,Entire home/apt,203,3,41,7/18/2023,0.85,2,315,15,
22031083,Townhouse in Bozeman · ★4.87 · 2 bedrooms · 2 beds · 2 baths,158595657,Mountain Home,,Bozeman,45.70629,-111.01963,Entire home/apt,300,1,15,8/3/2023,0.29,26,309,7,
